VTO,taxname,ottid
VTO_0084066,Phrynomantis affinis,3618886
VTO_0084061,Stereocyclops parkeri,3618933
VTO_9018972,Corytophanidae,4126015
VTO_0084062,Gastrophrynoides borneensis,3618938
VTO_0067288,Chlopsis dentatus,3643799
VTO_0067289,Chlopsis bicollaris,3643800
VTO_0067286,Chlopsis longidens,3643786
VTO_0067287,Chlopsis kazuko,3643795
VTO_0067284,Chlopsis slusserorum,3643789
VTO_0067285,Chlopsis apterus,3643796
VTO_0067282,Anguilla huangi,689350
VTO_0067280,Anguilla nigricans,3643615
VTO_0067281,Anguilla breviceps,3643614
VTO_9007504,Cardiolophus radinskyi,6146876
VTO_0057551,Latropiscis,357702
VTO_9004803,Bolosaurus traati,6148634
VTO_0057553,Hime,607297
VTO_9007505,Trematochampsidae,3605988
VTO_9005456,Bouliachelys,6155803
VTO_9005457,Deltodus contortus,6139659
VTO_9005454,Mesodermochelys,3606600
VTO_9005455,Mesodermochelys undulatus,6156305
VTO_9005452,Anomalochelys angulata,6156310
VTO_9005450,Vinciguerria merklini,6141407
VTO_9005451,Bouliachelys suteri,6155804
VTO_9005458,Neosaimiri,842872
VTO_9005459,Cebupithecia,4941491
VTO_0066718,Mormyrus bernhardi,3643917
VTO_9018399,Robertia,3587992
VTO_9012999,Paracoracias occidentalis,6151405
VTO_9012998,Oxyacodon marshater,4944984
VTO_9018393,Ctenacanthus abnormis,6159534
VTO_9018392,Ctenacanthus acutus,6159535
VTO_9018391,Australosomus kochi,6140382
VTO_9012994,Hypertragulus chadronensis,3615490
VTO_9012993,Luoxiongichthys,6372925
VTO_9018396,Lamna acuminata,3595151
VTO_9012991,Luoxiongichthys hyperdorsalis,6372926
VTO_9018394,Helmolepis gracilis,6142633
VTO_9007508,Carcinodon aquilonius,4943864
VTO_9010591,Cynomyoides vatis,4117176
VTO_9010590,Lystrosaurus jorisseni,4126445
VTO_9010593,Lystrosaurus jeppei,4126431
VTO_9010592,Lystrosaurus putterilli,4126446
VTO_9010594,Galerix uenayae,3614744
VTO_9010597,Prozostrodon,4128277
VTO_9011278,Ischyodus emarginatus,6139610
VTO_9007509,Notosuchus,4128265
VTO_9006905,Sinosinopa,4945523
VTO_9006904,Sarcodon,4945507
VTO_9006907,Ikechosaurus pijiagouensis,6148707
VTO_9006906,Parapternodus,3615656
VTO_9006901,Monjurosuchus manchoukuoensis,6158206
VTO_9006900,Cryptoryctes,5068485
VTO_9006903,Apternodus,4119515
VTO_9006902,Apternodontidae,3615657
VTO_9011270,Mimotona lii,6143615
VTO_9006909,Koniaryctes,4119513
VTO_9006908,Ikechosaurus gaoi,6148705
VTO_0059489,Leiocassis longibarbus,3623747
VTO_0059488,Leiocassis macropterus,3623676
VTO_9010860,Libycosuchus brevirostris,4132262
VTO_0059485,Mystus amemiyai,3623758
VTO_0059484,Mystus impluviatus,3623635
VTO_0059487,Leiocassis hosii,3623750
VTO_0059481,Mystus abbreviatus,3623628
VTO_0059480,Mystus carcio,3623631
VTO_0059482,Mystus punctifer,3623642
VTO_9002101,Anchitherium,3614943
VTO_9002100,Acritohippus,3614996
VTO_9002105,Tropidophorus bavaricus,6157805
VTO_9002104,Bavaricordylus,6157639
VTO_9002107,Isistius triangulus,6139566
VTO_9002106,Bavaricordylus molassicus,6157640
VTO_9002109,Procaroloameghinia,3606898
VTO_0068566,Hoplostethus occidentalis,3642445
VTO_0068567,Hoplostethus rifti,3642447
VTO_0068564,Aulotrachichthys atlanticus,3642464
VTO_0068565,Hoplostethus rubellopterus,3642444
VTO_0068562,Aulotrachichthys argyrophanus,3642467
VTO_0068563,Aulotrachichthys fernandezianus,3642443
VTO_0068560,Aulotrachichthys heptalepis,3642469
VTO_0068561,Aulotrachichthys latus,3642466
VTO_0068568,Hoplostethus abramovi,3642459
VTO_0068569,Hoplostethus marisrubri,3642456
VTO_9009287,Sulcavis geeorum,6150699
VTO_0069995,Parahollardia lineata,3631390
VTO_9003271,Trichiurides,4134996
VTO_9003272,Pediohierax ramenta,4130307
VTO_9003273,Pediohierax,4130306
VTO_9003274,Cylindracanthus rectus,3638449
VTO_9003277,Bharatagama rebbanensis,4125887
VTO_0003509,Phrynobatrachus kinangopensis,872216
VTO_0003508,Phrynobatrachus danko,582199
VTO_0003502,Phrynobatrachus intermedius,224004
VTO_0060917,Chasmocranus rosae,3624160
VTO_0060916,Chasmocranus brachynemus,3624164
VTO_0060915,Chasmocranus lopezi,3624162
VTO_0060914,Chasmocranus surinamensis,3624161
VTO_0060913,Chasmocranus chimantanus,3624158
VTO_0060911,Rhamdia humilis,3622020
VTO_0060910,Rhamdia poeyi,3622022
VTO_0060919,Chasmocranus quadrizonatus,3624156
VTO_0060918,Chasmocranus truncatorostris,3624159
VTO_0066551,Nematalosa persara,3628614
VTO_9006174,Adapis,4941604
VTO_9006175,Metaxytherium serresii,3607267
VTO_9006176,Nannodectes,4941502
VTO_9006177,Pandemonium,4941536
VTO_9006170,Metaxytherium krahuletzi,3607280
VTO_9006171,Metaxytherium lovisati,3607263
VTO_9006172,Metaxytherium medium,3607318
VTO_9006173,Metaxytherium subapenninum,3607289
VTO_9006178,Plesiadapidae,4941495
VTO_9006179,Chiromyoides,4941496
VTO_0034026,Gymnothorax elegans,17072
VTO_0034020,Anarchias seychellensis,937953
VTO_0034029,Gymnothorax australicola,969961
VTO_9023534,Acheronodon,3616224
VTO_9023537,Taeniolabididae,3615403
VTO_9023536,Macropetalichthyidae,4949996
VTO_0035371,Corydoras solox,531908
VTO_9023530,Eucosmodontidae,3615323
VTO_9023533,Phalacrocorax mediterraneus,6154792
VTO_9023532,Zenkerella,3609282
VTO_9023539,Issiodoromys,4941162
VTO_0033795,Petrocephalus ansorgii,415362
VTO_0062519,Triplophysa xichangensis,3628148
VTO_0062518,Triplophysa cuneicephala,3628107
VTO_9007229,Dolichochampsa,4132203
VTO_9007228,Dolichochampsidae,3606034
VTO_0062511,Triplophysa pappenheimi,3628142
VTO_9007222,Sphenacanthus sanpauloensis,6160182
VTO_9007221,Orodontidae,4140384
VTO_0062512,Triplophysa fuxianensis,3628128
VTO_0062515,Triplophysa tibetana,3628140
VTO_0062514,Triplophysa chondrostoma,3628119
VTO_0062517,Triplophysa pedaschenkoi,4949383
VTO_0081295,Rhinella tenrec,4133439
VTO_9009048,Poraspis cylindrica,4949917
VTO_0081297,Rhinella sclerocephala,4133436
VTO_0081296,Rhinella rostrata,763247
VTO_0081291,Rhinella sternosignata,4133443
VTO_0081290,Rhinella leptoscelis,6158679
VTO_0081293,Rhinella iserni,4133455
VTO_0081292,Rhinella inopinus,29892
VTO_9009041,Eopachyrucos pliciferus,4944129
VTO_9009043,Carlesia,4947086
VTO_9009042,Agilisaurus,4141601
VTO_0081299,Rhinella dorbignyi,4133437
VTO_9009044,Poraspis magna,4949918
VTO_9009047,Salladolodus deuterotherioides,6143300
VTO_9009046,Carlesia incognita,4947087
VTO_0072559,Neosebastes multisquamus,3632559
VTO_0072554,Neosebastes capricornis,3632553
VTO_0072555,Neosebastes longirostris,3632558
VTO_0072550,Heminodus philippinus,3631569
VTO_0072551,Parabembras curtus,3631532
VTO_0072552,Erilepis,3632607
VTO_0072553,Erilepis zonifer,3632609
VTO_9028618,Sarcoprion edax,6138959
VTO_0070954,Orestias uruni,3641761
VTO_0070955,Orestias elegans,3641760
VTO_0070952,Orestias cuvieri,3641748
VTO_0070953,Orestias minutus,3641763
VTO_0070950,Orestias olivaceus,3641757
VTO_9028611,Microcleidus homalospondylus,4127173
VTO_9028610,Champsosaurus laramiensis,4128015
VTO_9028613,Champsosaurus natator,4128018
VTO_9028612,Soroavisaurus,4142319
VTO_9028614,Brachauchenius lucasi,4127190
VTO_0070958,Aphanius transgrediens,924405
VTO_0070959,Aphanius punctatus,3641736
VTO_9021978,Alluvisorex chasseae,3614668
VTO_9021977,Palaeaspis bowerbanki,4948064
VTO_9021975,Schizogalerix voesendorfensis,3614728
VTO_9021974,Schizogalerix moedlingensis,3614750
VTO_9021973,Glossophaga apolinari,6146454
VTO_9021972,Praearmantomys crusafonti,4940838
VTO_9021971,Garudimimidae,4127013
VTO_9021970,Epimeriones austriacus,3610141
VTO_0077458,Acanthoplesiops psilogaster,3633822
VTO_0077459,Acanthoplesiops hiatti,3633824
VTO_0077452,Acanthoclinus littoreus,3633831
VTO_0077453,Acanthoclinus rua,3633832
