vto_name	vto_id	ncbi_id	OT_name	Ot_ID
Channallabes sanghaensis	VTO_0035485	312345	Channallabes sanghaensis	950113
Channallabes longicaudatus	VTO_0035484	310924	Channallabes longicaudatus	30860
Pardiglanis tarabinii	VTO_0059213	NA	NA	NA
Chiloglanis lufirae	VTO_0061914	NA	NA	NA
Corydoras oiapoquensis	VTO_0035294	NA	NA	NA
Chrysichthys okae	VTO_0059215	NA	NA	NA
Synodontis rufigiensis	VTO_0061813	NA	NA	NA
Eutropiichthys burmannicus	VTO_0061260	NA	NA	NA
Ancistrus formoso	VTO_0059922	NA	NA	NA
Ancistrus clementinae	VTO_0059966	NA	NA	NA
Nannoplecostomus	VTO_9046522	NA	NA	NA
Nannoplecostomus eleonorae	VTO_9046521	NA	NA	NA
Chrysichthys bocagii	VTO_0059217	NA	NA	NA
Sisor rabdophorus	VTO_0036613	385310	Sisor rabdophorus	918537
Sisor	VTO_0036612	385309	Sisor	343439
Bagarius suchus	VTO_0036611	400067	Bagarius suchus	350808
Bagarius yarrelli	VTO_0036610	175774	Bagarius yarrelli	538067
Nangra nangra	VTO_0036617	400077	Nangra nangra	851180
Nangra	VTO_0036616	337644	Nangra	45407
Gogangra viridescens	VTO_0036615	385296	Gogangra viridescens	641167
Chrysichthys acsiorum	VTO_0059219	NA	NA	NA
Ayarnangra	VTO_0036619	385279	Ayarnangra	693720
Nangra assamensis	VTO_0036618	385301	Nangra assamensis	343454
Pseudauchenipterus nodosus	VTO_0060505	NA	NA	NA
Notarius troschelii	VTO_0059748	NA	NA	NA
Synodontis omias	VTO_0061835	NA	NA	NA
Notarius osculus	VTO_0059749	NA	NA	NA
Ancistrus bolivianus	VTO_0059967	NA	NA	NA
Propimelodus sp. (Mo 1991)	VTO_0059610	NA	NA	NA
Hisonotus iota	VTO_0036929	510749	Hisonotus iota	70172
Hisonotus aky	VTO_0036928	510748	Hisonotus aky	70176
Ancistrus variolus	VTO_0059968	NA	NA	NA
Neosiluroides cooperensis	VTO_0036299	NA	NA	NA
Neosiluroides	VTO_0036298	NA	NA	NA
Cnidoglanis macrocephalus	VTO_0036297	443776	Cnidoglanis macrocephalus	701869
Cnidoglanis	VTO_0036296	443775	Cnidoglanis	701862
Pseudotothyris janeirensis	VTO_0036923	571754	Pseudotothyris janeirensis	1076714
Pseudotothyris	VTO_0036922	321167	Pseudotothyris	277183
