VTO_name	VTO_id
Acheronictis webbi	VTO_9025448
Phoeniconotius	VTO_9025447
Labrax schizurus	VTO_9025446
Juncitarsus	VTO_9025445
Labrax lepidotus	VTO_9025444
Pelates quindecimalis	VTO_9025443
Serranus ventralis	VTO_9025442
Dules temnopterus	VTO_9025441
Crocodilus clavirostris	VTO_9025440
Odontanthias katayamai	VTO_0076659
Odontanthias dorsomaculatus	VTO_0076658
Odontanthias wassi	VTO_0076653
Odontanthias fuscipinnis	VTO_0076652
Odontanthias grahami	VTO_0076651
Belonoperca pylei	VTO_0076650
Odontanthias chrysostictus	VTO_0076657
Odontanthias flagris	VTO_0076656
Odontanthias rhodopeplus	VTO_0076655
Odontanthias unimaculatus	VTO_0076654
Myomimus bulgaricus	VTO_9023841
Myomimus qafzensis	VTO_9023840
Myomimus setzeri	VTO_9023843
Waincophis cameratus	VTO_9023845
Chisternon undatum	VTO_9023844
Chlorophthalmus chalybeius	VTO_0079939
Chlorophthalmus proridens	VTO_0079938
Parasudis fraserbrunneri	VTO_0079937
Maulichthys	VTO_0079936
Stemonosudis distans	VTO_0079935
Stemonosudis miscella	VTO_0079934
Stemonosudis molesta	VTO_0079933
Stemonosudis intermedia	VTO_0079932
Stemonosudis similis	VTO_0079931
Stemonosudis elegans	VTO_0079930
Arsinoitherium andrewsii	VTO_9000226
Palaeorycteropus	VTO_9008222
Kukufeldia tilgatensis	VTO_9008223
Orycteropus erikssoni	VTO_9008220
Procellarae	VTO_9008221
Gaviomorphae	VTO_9008226
Pelecanoidi	VTO_9008227
Orycteropus leptodon	VTO_9008224
Procellarioidea	VTO_9008225
Procellariimorphae	VTO_9008228
Archaebalaenoptera	VTO_9008229
Rhinesuchus	VTO_9016971
Prionosuchus	VTO_9016970
Discoserra	VTO_9016973
Uranocentrodon	VTO_9016972
Discoserra pectinodon	VTO_9016975
Guildayichthyidae	VTO_9016974
Myotis grisecens	VTO_9016977
Orodromeus	VTO_9016976
Orodromeus makelai	VTO_9016979
Limnoiketes	VTO_9016978
Dalpiazia	VTO_9009938
Cophixalus pulchellus	VTO_0083909
Cophixalus aenigma	VTO_0083908
Cophixalus crepitans	VTO_0083903
Cophixalus concinnus	VTO_0083902
Cophixalus monticola	VTO_0083901
Cophixalus verrucosus	VTO_0083900
Cophixalus mcdonaldi	VTO_0083907
Cophixalus hosmeri	VTO_0083906
Cophixalus variabilis	VTO_0083904
Luposicya lupus	VTO_0078484
Aplastodiscus ibirapitanga	VTO_0082058
Aplastodiscus flumineus	VTO_0082059
Aplastodiscus sibilatus	VTO_0082056
Aplastodiscus ehrhardti	VTO_0082057
Trachycephalus dibernardoi	VTO_0082054
Trachycephalus atlas	VTO_0082055
Trachycephalus mambaiensis	VTO_0082052
Trachycephalus lepidus	VTO_0082053
Plectrohyla sagorum	VTO_0082050
