ottid	number_of_vto_mappings_from_data_file
ott3622972	1
ott3622973	1
ott3622970	1
ott3622971	1
ott3624191	1
ott113427	2
ott1077781	1
ott282530	1
ott968952	0
ott50510	1
ott783832	1
ott3623802	1
ott389303	0
ott3623805	1
ott3624021	1
ott3624272	1
ott5839226	0
ott991173	1
ott477653	0
ott3623807	1
ott5925157	0
ott3623550	1
ott168395	1
ott5839228	0
ott52814	0
ott531914	1
ott531912	1
ott531910	1
ott195732	1
ott52816	1
ott3622802	1
ott3622803	1
ott3622800	1
ott3622801	1
ott3622806	1
ott3622807	1
ott3622804	1
ott3622805	1
ott3622808	1
ott3622809	1
ott950009	1
ott3624255	1
ott3624254	1
ott5925208	0
ott5925209	0
ott3623570	1
ott3624253	1
ott3624252	1
ott5925202	0
ott5925203	0
ott5925200	0
ott5925201	0
ott5925206	0
ott5925207	0
ott5925204	0
ott5925205	0
ott293647	1
ott3623361	1
ott216128	2
ott671052	1
ott3624070	0
ott3624073	1
ott733136	1
ott874760	1
ott874761	1
ott3624075	1
ott825196	1
ott1028769	1
ott3624074	1
ott3623610	1
ott3623611	1
ott3623612	1
ott3645703	0
ott1008719	1
ott3624077	1
ott3623616	1
ott3623617	1
ott3623618	1
ott3623619	1
ott3624076	1
ott3622716	1
ott3622717	1
ott3622714	1
ott3622715	1
ott3622712	1
ott3622713	1
ott3622710	1
ott3622711	1
ott5557359	0
ott3623114	1
ott3622718	0
ott3622719	1
ott203397	1
ott634718	0
ott3623259	1
ott1012781	1
ott203399	1
ott3621945	0
ott3622459	1
ott3623364	1
ott744493	1
ott174947	1
ott466218	1
ott948858	1
ott101999	1
ott174949	1
ott415366	1
ott3623764	1
ott3623765	1
ott6141689	0
ott6141688	0
ott3623760	1
ott3623761	1
ott3623762	1
ott3623763	1
ott3622622	1
ott3622623	1
ott3622620	1
ott3622621	4
ott6141687	0
ott6141686	0
ott3622624	1
ott3622625	1
ott598974	0
ott598975	0
ott598976	0
ott598977	0
ott3621942	1
ott3621943	1
ott3621940	1
ott3621941	1
ott967323	2
ott3624015	1
ott598978	0
ott598979	0
ott3621948	1
ott839753	1
ott4949444	0
ott392183	1
ott392185	0
ott3623366	1
ott199220	1
ott3622367	1
ott3622366	1
ott3622365	1
ott3622364	1
ott3622363	1
ott3622362	1
ott3622361	1
ott3622360	1
ott677782	1
ott677784	1
ott3622369	1
ott3622368	1
ott3622561	1
ott3622560	1
ott3622563	1
ott3622562	1
ott3622565	1
ott3622564	1
ott3622567	1
ott3622566	1
ott3622569	0
ott3622568	1
ott74934	0
ott1001880	1
ott5555209	0
ott5555208	0
ott678009	1
ott6141779	0
ott6141778	0
ott6141777	0
ott5555203	0
ott6141774	1
ott651451	0
ott6141772	0
ott6141771	0
ott6141770	0
ott3621722	1
ott10530	0
ott6141825	0
ott6141824	0
ott3621726	1
ott6141822	0
ott6141821	0
ott950001	0
ott785871	1
ott3621729	1
ott785877	1
ott936238	1
ott186924	0
ott10533	0
ott873171	1
ott150674	1
ott3622025	1
ott861362	1
ott868518	1
ott4138531	0
ott4949442	1
ott3623382	0
ott394569	1
ott3622027	0
ott406938	0
ott108974	1
ott108977	1
ott3623385	1
ott406934	1
ott277161	1
ott406936	1
ott4949440	1
ott406930	1
ott800578	1
ott3622495	1
ott3622494	0
ott3622497	0
ott3622496	1
ott3622490	1
ott3622493	0
ott3622492	0
ott3623144	1
ott3623145	0
ott3623146	0
ott3622499	1
ott3622498	1
ott3623142	1
ott3623143	0
ott3624018	1
ott240811	1
ott6141919	0
ott675205	1
ott3623501	1
ott3623263	1
ott5846047	0
ott6141911	0
ott6141910	0
ott6141917	0
ott6141916	0
ott6141915	0
ott6141914	0
ott3624014	1
ott3623468	1
ott4949449	0
ott4949448	0
ott3622149	1
ott3622148	1
ott3622147	1
ott3622146	1
ott3622145	1
ott3622144	1
ott3622143	1
ott3622142	1
ott3622141	1
ott3622140	1
ott3622389	2
ott768251	1
ott410063	1
ott1001878	1
ott3622381	1
ott322266	0
ott3622383	0
ott3622382	1
ott1001870	1
ott3622384	1
ott3622387	1
ott3622386	1
ott3621964	0
ott3623584	1
ott5925149	0
ott5925148	0
ott113061	1
ott5925145	0
ott5925144	0
ott5925147	0
ott5925146	0
ott5925141	0
ott5925140	0
ott5925143	0
ott5925142	0
ott623745	1
ott3624194	1
ott214957	0
ott876095	1
ott5846103	1
ott3624134	1
ott3621892	0
ott3624052	1
ott1065732	0
ott5846130	0
ott3622033	0
ott3622032	1
ott3622031	1
ott3622030	1
ott994071	0
ott460658	0
ott3622035	1
ott13190	1
ott3624130	1
ott460657	0
ott5555216	0
ott3623520	1
ott3624131	1
ott3624080	1
ott3624081	1
ott3624082	1
ott3624083	1
ott3624084	1
ott3624051	1
ott3624086	1
ott3624087	1
ott400837	1
ott3624089	1
ott195737	2
ott3624133	1
ott480341	1
ott3623527	1
ott3623962	1
ott3623963	1
ott3623960	1
ott3623961	1
ott3623966	1
ott3623967	1
ott3623964	1
ott3623965	1
ott783829	1
ott3623968	1
ott3623969	1
ott3624140	1
ott1037698	1
ott52805	0
ott5839305	0
ott1069118	1
ott5839307	0
ott5839306	0
ott5839309	0
ott360624	1
ott360627	1
ott1037692	2
ott360621	1
ott641176	1
ott885231	1
ott641174	0
ott1071082	1
ott6141816	0
ott625697	0
ott1071084	1
ott577005	1
ott1071088	1
ott549967	1
ott549966	0
ott73902	1
ott3623533	1
ott461408	0
ott1007941	1
ott3622965	0
ott712192	1
ott3622967	0
ott3622966	1
ott3622961	1
ott3622960	1
ott3622963	1
ott3622962	1
ott987382	1
ott62079	1
ott3621965	1
ott62075	1
ott62077	1
ott5839261	1
ott3622069	1
ott5846134	0
ott3624195	1
ott903465	0
ott3624164	1
ott5839236	1
ott5839231	1
ott5839230	0
ott860958	1
ott860959	1
ott842266	0
ott109116	1
ott3623415	1
ott5846135	0
ott3621763	1
ott619744	1
ott3622811	1
ott3622810	1
ott3622813	1
ott3623819	1
ott3622814	1
ott3622817	1
ott3622816	1
ott3622819	1
ott3622818	1
ott3623810	1
ott3623811	1
ott3623816	1
ott584021	1
ott3623814	1
ott696174	1
ott5925219	0
ott5925218	0
ott3624068	1
ott3624069	1
ott5925211	0
ott5925210	0
ott5925213	0
ott5925212	0
ott3624162	1
ott5925214	0
ott5925217	0
ott5925216	0
ott582525	1
ott5846145	0
ott440093	1
ott3622446	1
ott101242	2
ott584024	1
ott394020	1
ott296248	0
ott565059	0
ott531349	1
ott531347	0
ott531345	0
ott531342	1
ott296244	0
ott296247	0
ott3623607	1
ott3623606	1
ott3623605	1
ott5845969	0
ott3623603	1
ott3623602	1
ott3623601	1
ott829436	0
ott3623609	1
ott3623608	1
ott3622705	1
ott3622704	1
ott3622706	1
ott3622701	1
ott3622700	1
ott3622703	1
ott3622702	1
ott3622709	1
ott3622708	1
ott531908	1
ott93062	1
ott531902	0
ott531903	0
ott531904	0
ott531905	0
ott531906	0
ott531907	0
ott3623878	1
ott3623879	1
ott174955	1
ott3623779	1
ott174957	1
ott174951	1
ott174953	1
ott3623773	1
ott3623772	1
ott3623771	1
ott3623770	1
ott3623777	1
ott3623776	1
ott3623775	1
ott3623774	1
ott3622639	1
ott3622638	1
ott1007928	1
ott3623354	1
ott3622631	1
ott3622630	1
ott3622633	1
ott3622632	1
ott3622635	1
ott3622634	1
ott3622637	1
ott3622636	1
ott612843	0
ott3621954	1
ott3621957	1
ott3621956	1
ott3621951	1
ott3621950	1
ott3621953	1
ott3621952	1
ott3623218	1
ott3621959	1
ott3621958	1
ott3623219	1
ott3623661	1
ott3623660	1
ott3623352	0
ott3624142	1
ott3623663	1
ott3621766	1
ott3623662	1
ott3623876	1
ott3623577	1
ott3621767	1
ott3623665	1
ott3623877	1
ott3621764	1
ott3623664	1
ott3622554	1
ott3622555	1
ott3622556	1
ott3622557	1
ott3622550	1
ott3622551	1
ott3622552	1
ott698172	1
ott3623359	1
ott52799	1
ott3623666	1
ott3622558	1
ott3622559	1
ott251615	1
ott904626	1
ott6141782	0
ott6141783	0
ott6141780	0
ott6141781	0
ott3621760	1
ott6141784	0
ott6141785	0
ott651446	0
ott651447	0
ott3621992	1
ott671072	1
ott3621962	1
ott3621731	1
ott3621730	2
ott785868	1
ott3621963	1
ott3621735	1
ott3621734	1
ott3621737	1
ott3621935	1
ott3621739	1
ott22071	1
ott2356	1
ott494916	1
ott3624223	1
ott494913	1
ott297568	1
ott122074	1
ott704261	1
ott3623107	1
ott704267	2
ott3621966	1
ott3624001	1
ott3622005	1
ott3621967	1
ott3624002	1
ott3623391	1
ott3623390	1
ott650829	0
ott3624003	0
ott873167	0
ott3623394	1
ott3623397	0
ott3623396	1
ott3623399	0
ott3624004	1
ott3261	2
ott3624005	1
ott3623153	1
ott3623152	1
ott987212	1
ott3623155	1
ott3623154	1
ott3623159	1
ott122073	0
ott3621805	1
ott813445	1
ott546066	0
ott546062	0
ott1007926	1
ott3623140	0
ott5846122	0
ott671054	1
ott516667	2
ott5846120	0
ott3623357	1
ott1087550	1
ott6141921	0
ott1090960	0
ott410077	1
ott410075	1
ott936222	1
ott6141927	0
ott5925170	0
ott5925171	0
ott5925172	0
ott5925173	0
ott5925174	0
ott5925175	0
ott5925176	0
ott441082	0
ott5925178	0
ott5925179	0
ott1019915	1
ott60933	1
ott877784	1
ott936001	1
ott969822	1
ott5846129	0
ott516546	1
ott488963	1
ott350811	1
ott488967	1
ott3623351	0
ott3623514	1
ott3622046	1
ott3622047	1
ott3622044	0
ott3622045	1
ott3622042	1
ott3622043	1
ott3622040	1
ott3622041	1
ott849224	1
ott460860	1
ott516669	1
ott849223	1
ott3622049	1
ott604664	1
ott3624096	1
ott700872	1
ott6141896	0
ott3624093	1
ott3624092	1
ott3624091	1
ott3624090	1
ott3622458	1
ott983865	1
ott3624099	1
ott3624098	1
ott918996	0
ott3623970	1
ott3623973	1
ott3623972	1
ott3623975	1
ott3623974	1
ott3623977	1
ott3623976	1
ott3623979	1
ott3623978	1
ott1069120	1
ott360638	1
ott4138511	0
ott641165	1
ott360634	1
ott6141882	0
ott360632	1
ott182143	1
ott360630	1
ott641163	2
ott277540	1
ott3622076	1
ott3622425	1
ott3622950	1
ott3622951	1
ott3622952	1
ott3622953	1
ott3622954	1
ott3622955	1
ott3622956	1
ott3622957	1
ott3622958	1
ott3622959	1
ott639590	1
ott896086	1
ott871260	0
ott3622072	1
ott482707	0
ott482706	0
ott3623541	1
ott3622661	1
ott5839208	0
ott5839209	0
ott5925198	0
ott5925199	0
ott670820	4
ott5925192	0
ott5925193	0
ott5925190	0
ott5925191	0
ott5839204	0
ott5925197	0
ott5925194	0
ott5925195	0
ott477676	0
ott1011036	1
ott477672	0
ott1011030	0
ott698166	1
ott1011033	0
ott730419	2
ott698164	1
ott3621793	1
ott3623809	1
ott3622825	1
ott3622826	2
ott3622827	1
ott3622820	1
ott3622821	1
ott3622822	1
ott3622823	1
ott3623557	0
ott3623556	1
ott3623555	1
ott3624274	1
ott3622828	1
ott3622829	1
ott3624271	1
ott3623806	1
ott3624079	1
ott3624078	1
ott5925228	0
ott5925229	0
ott11376	1
ott5925224	0
ott5925225	0
ott5925226	0
ott5925227	0
ott5925220	0
ott5925221	0
ott5925222	0
ott5925223	0
ott508484	1
ott73910	2
ott1015003	1
ott3623496	1
ott296252	0
ott296251	0
ott3624165	0
ott3622738	1
ott3622739	1
ott319727	1
ott494865	0
ott47720	1
ott3622730	1
